color,question
red,The first color of the rainbow
red,The American flag consist of white, blue and which color
red,Roses are this color
red,Marvel's logo is this color
red,There will be blood
orange,Not just a color but also a fruit
orange,Nothing rhymes with this color
orange,Netherlands's soccer jerseys are this color
orange,Second color of the rainbow
orange,Color you get from being in the sun for too long
yellow,The color of the sun 
yellow,The color of dandelions
yellow,The brightest color of the rainbow
yellow,Song written by Coldplay
yellow,Rhymes with Hello
green,The color representing plants
green,The fourth color of the rainbow
green,The color of peas
green,The black superhero from Justice League
green,The color of Money
blue,The color of the ocean
blue,The color of the sky
blue,Dory from Finding Nemo
blue,Food ingredient delivery service
blue,Penn State lives here
purple,The color of non green grapes
purple,Big friendly dinasour you watched as a kid
purple,Violet is a mix between blue and this color
purple,Daphne from Scooby Doo dressed in this
purple,Song by Prince